text_equiv	language	font_family	segment_type	segment_id	url_id	region	rotation	full_region	full_rotation
Praktiſcher	German	Fraktur	Word	Kolonie-Zeitung-1867-12-21_P03_r1_line0002_word0000	28	1363,2555,592,125	359.625	634,2370,2609,1045	359.625
zu	German	Antiqua	Word	Kolonie-Zeitung-1888-12-11_P01_r1_line0016_word0006	185	4996,2630,74,46	359.5	2695,623,4085,3247	359.5
geehrten	German	Fraktur	Word	Kolonie-Zeitung-1889-12-24_P02_r1_line0002_word0002	194	5631,2466,273,90	359.625	5030,2101,2055,679	359.625
jetzt	German	Fraktur	Word	Kolonie-Zeitung-1869-04-24_P03_r1_line0007_word0002	39	738,5705,121,88	359.875	366,4957,2432,1014	359.875
reflectirt,	German	Fraktur	Word	Kolonie-Zeitung-1866-01-20_P03_r1_line0005_word0007	17	2807,5689,247,71	0.0	854,5252,2665,588	0.0
von	German	Fraktur	Word	Kolonie-Zeitung-1867-08-24_P03_r1_line0014_word0007	24	4488,2815,102,44	359.875	3351,1574,2644,1912	359.875
eine	German	Italic	Word	Brusquer-Zeitung-1912-04-20_P02_r1_line0001_word0000	304	764,4940,152,67	0.25	616,4692,1798,1152	0.25
Maſchinen	German	Fraktur	Word	Kolonie-Zeitung-1900-01-04_P03_r1_line0012_word0003	197	4037,2057,357,92	359.875	2502,785,3144,1396	359.875
thodo	Portuguese	Antiqua	Word	Kolonie-Zeitung-1887-11-25_P03_r1_line0004_word0000	166	3456,7861,206,70	0.5	2874,7282,2058,1364	0.5
Hut	German	Fraktur	Word	Kolonie-Zeitung-1869-12-18_P03_r1_line0010_word0002	43	3620,5603,133,84	0.5	2896,4902,2478,1634	0.5
liniirtes	German	Fraktur	Word	Kolonie-Zeitung-1880-01-24_P05_r1_line0001_word0000	103	3458,4938,527,125	359.75	3269,4774,1818,1396	359.75
Hilfe	German	Fraktur	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0004_word0007	75	4832,4195,169,89	0.25	2871,3671,2483,4110	0.25
gewährleiſtet	German	Fraktur	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0016_word0005	75	4586,5218,423,92	0.25	2871,3671,2483,4110	0.25
Lager	German	Fraktur	Word	Kolonie-Zeitung-1874-11-28_P03_r1_line0004_word0000	84	2833,7062,184,91	0.375	2819,6532,2460,694	0.375
ſich	German	Fraktur	Word	Kolonie-Zeitung-1887-09-16_P03_r1_line0041_word0003	158	1796,6882,100,87	0.375	644,4277,4246,3156	0.375
Klaußner	German	Kanzlei	Word	Kolonie-Zeitung-1881-10-01_P03_r1_line0020_word0001	117	1595,7215,529,155	0.375	374,5316,2516,2688	0.375
Appetit	German	Fraktur	Word	Kolonie-Zeitung-1871-09-30_P03_r1_line0023_word0008	52	2200,7788,207,70	0.75	270,6081,2486,2082	0.75
es	German	Fraktur	Word	Kolonie-Zeitung-1880-10-23_P03_r1_line0008_word0004	106	1383,6191,68,64	0.0	356,5294,2520,1422	0.0
den	German	Textura	Word	Kolonie-Zeitung-1887-10-14_P03_r1_line0037_word0001	161	3574,3683,140,70	359.75	2962,969,2082,3254	359.75
der	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0009_word0012	55	4844,6552,87,53	0.5	2931,5739,2499,1886	0.5
Inlett,	German	Antiqua	Word	Kolonie-Zeitung-1888-12-11_P01_r1_line0017_word0005	185	5833,2715,219,87	359.5	2695,623,4085,3247	359.5
Fäſſern	German	Fraktur	Word	Kolonie-Zeitung-1887-03-25_P03_r1_line0000_word0002	140	6412,1049,380,129	359.625	4920,1011,2050,1121	359.625
und	German	Fraktur	Word	Der-Pionier-1891-10-07_P03_r1_line0004_word0002	295	1683,7207,159,78	0.0	275,6298,1619,1314	0.0
das	German	Fraktur	Word	Kolonie-Zeitung-1866-04-21_P03_r1_line0008_word0007	19	2438,5389,98,54	359.75	709,4498,2714,1521	359.75
Dona	Portuguese	Fraktur	Word	Kolonie-Zeitung-1867-12-21_P03_r1_line0000_word0009	28	2047,2382,186,69	359.625	634,2370,2609,1045	359.625
Productos	Portuguese	Antiqua	Word	Kolonie-Zeitung-1874-05-09_P03_r1_line0024_word0002	75	3587,5925,430,79	0.25	2871,3671,2483,4110	0.25
ſchnell	German	Fraktur	Word	Der-Pionier-1888-12-08_P03_r1_line0008_word0003	245	1523,7974,195,84	359.75	193,7090,1700,1564	359.75
daher	German	Fraktur	Word	Kolonie-Zeitung-1872-05-04_P03_r1_line0015_word0003	55	3473,6990,154,57	0.5	2931,5739,2499,1886	0.5
Vnts.,	Portuguese	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0016_word0009	64	2132,5571,179,83	0.125	441,4191,2488,4398	0.125
man	German	Fraktur	Word	Kolonie-Zeitung-1869-04-24_P03_r1_line0008_word0004	39	1248,5809,147,53	359.875	366,4957,2432,1014	359.875
an	German	Antiqua	Word	Der-Pionier-1891-09-09_P01_r1_line0024_word0002	293	3637,2278,172,110	359.625	2017,450,5055,2236	359.625
Noſinen,	German	Fraktur	Word	Kolonie-Zeitung-1888-11-29_P03_r1_line0001_word0002	184	6558,6954,531,147	0.75	5082,6643,2030,1900	0.75
Sonntag,	German	Antiqua	Word	Brusquer-Zeitung-1912-02-17_P02_r1_line0004_word0000	301	3999,5508,586,87	0.0	3909,4880,1774,1153	0.0
unterbleibt	German	Fraktur	Word	Kolonie-Zeitung-1868-08-01_P03_r1_line0013_word0004	34	1822,6329,367,73	0.0	483,5282,2500,2814	0.0
Franzisca	German	Textura	Word	Kolonie-Zeitung-1864-03-19_P03_r1_line0006_word0004	7	1594,912,386,96	359.5	514,502,3121,1245	359.5
com	Portuguese	Antiqua	Word	Kolonie-Zeitung-1867-02-23_P03_r1_line0004_word0001	23	873,5234,121,39	0.125	582,4766,2652,1434	0.125
Geſchäfte	German	Fraktur	Word	Kolonie-Zeitung-1868-01-11_P03_r1_line0017_word0004	29	4268,5153,303,89	0.125	3251,3515,2466,4041	0.125
Ball.	German	Fraktur	Word	Kolonie-Zeitung-1887-03-18_P03_r1_line0007_word0005	139	4281,2121,211,71	0.0	2761,939,2043,1716	0.0
Milreis	Portuguese	Fraktur	Word	Kolonie-Zeitung-1873-06-07_P03_r1_line0006_word0009	64	2576,4715,218,64	0.125	441,4191,2488,4398	0.125
